Date,Open,High,Low,Close,Adj Close,Volume
05-02-2020,1380,1401,1372.25,1393.5,1364.753052,40423
06-02-2020,1393,1420,1377.400024,1394,1365.242676,28433
07-02-2020,1386.099976,1430,1380,1415,1385.809448,252117
10-02-2020,1448.949951,1479.949951,1414.949951,1420.699951,1391.391846,207652
11-02-2020,1425,1432.349976,1400,1421.099976,1391.783691,76566
12-02-2020,1425,1428,1411.300049,1419.050049,1389.776001,89405
13-02-2020,1425,1425.099976,1400.050049,1415.550049,1386.348145,53099
14-02-2020,1410,1438,1410,1423.849976,1394.476929,58129
17-02-2020,1421,1438,1400,1418.099976,1388.845459,54201
18-02-2020,1425,1425,1382.300049,1403.75,1374.791626,67443
19-02-2020,1417,1472,1401.449951,1461.949951,1431.790771,168361
20-02-2020,1460,1478.949951,1454.099976,1472.199951,1441.829468,60515
24-02-2020,1466,1499,1453.900024,1494.099976,1463.27771,155675
25-02-2020,1493,1505,1433,1441,1411.273071,54514
26-02-2020,1439,1440,1420.75,1430.349976,1400.842773,48663
27-02-2020,1420.099976,1430.300049,1386.25,1410.449951,1381.353271,65714
28-02-2020,1404.949951,1404.949951,1331.5,1387.550049,1358.925659,64110
02-03-2020,1376,1423,1370.349976,1402.199951,1373.273438,129251
03-03-2020,1415,1450,1375,1396.25,1367.446289,52574
04-03-2020,1400,1409.650024,1307.400024,1341.800049,1314.119629,147632
05-03-2020,1360,1414.75,1310,1366.900024,1338.701782,88487
06-03-2020,1305.349976,1331.800049,1301.900024,1326.449951,1299.086304,63110
09-03-2020,1302.5,1331.300049,1301.5,1318.900024,1291.692017,131633
11-03-2020,1320,1320.5,1249.050049,1285.349976,1266.033447,117883
12-03-2020,1220.5,1258,1124.900024,1144.650024,1127.447998,108115
13-03-2020,1031.099976,1225.050049,920,1213.900024,1195.657227,94645
16-03-2020,1170,1219.300049,1160,1178.150024,1160.44458,113021
17-03-2020,1181,1237.050049,1150,1168.150024,1150.594727,152505
18-03-2020,1168.150024,1199,1070.25,1103.050049,1086.473145,84757
19-03-2020,1015,1070,980,1034.099976,1018.559326,136568
20-03-2020,1040,1061.050049,955.099976,984.150024,969.360046,387172
23-03-2020,954.75,954.75,795.25,891,877.609802,120127
24-03-2020,910,938.450012,873.849976,930.349976,916.368469,51325
25-03-2020,875.349976,970.799988,875.349976,964.5,950.005249,94172
26-03-2020,970,977,931.400024,937,922.918518,50928
27-03-2020,970,970,925,932,917.993652,74425
30-03-2020,918,928,890.150024,919.75,905.927795,35411
31-03-2020,944,944,922.150024,935.549988,921.490295,122472
01-04-2020,935.900024,940,900,921.450012,907.602234,64180
03-04-2020,935,935,902,912.900024,899.180725,19118
07-04-2020,916,968,916,966.25,951.728943,50247
08-04-2020,940,973,940,953.450012,939.121338,38295
09-04-2020,957,975,952,968.200012,953.649658,188000
13-04-2020,969,1097.199951,950,1043.800049,1028.113647,187185
15-04-2020,1040,1100,1038.5,1081.699951,1065.44397,284413
16-04-2020,1081.699951,1104.800049,1077.699951,1095.25,1078.790283,37687
17-04-2020,1120,1157.75,1105.699951,1128.5,1111.540649,113591
20-04-2020,1151,1178,1112.099976,1143.75,1126.561401,204698
21-04-2020,1124.599976,1158.849976,1095.199951,1136.75,1119.666626,53656
22-04-2020,1141.949951,1155,1059.050049,1145.949951,1128.728394,154970
23-04-2020,1146.75,1165,1135.800049,1149.300049,1132.028076,55705
24-04-2020,1145.150024,1149.400024,1075,1090.300049,1073.914795,109602
27-04-2020,1109,1124,1085.5,1103.5,1086.916382,364690
28-04-2020,1125,1125,1095.550049,1109.599976,1092.924683,20756
29-04-2020,1123.349976,1123.349976,1081.050049,1096,1079.528931,23072
30-04-2020,1108.150024,1125,1101,1119.300049,1102.479004,219907
04-05-2020,1095.800049,1139.599976,1081.199951,1097.550049,1081.055786,44341
05-05-2020,1111.900024,1113,1062.650024,1081.300049,1065.050049,59458
06-05-2020,1080.050049,1100,1080,1097.650024,1081.154175,155291
07-05-2020,1100,1118.5,1085.050049,1089.400024,1073.02832,20636
08-05-2020,1109,1109,1082.400024,1094.900024,1078.445679,28151
11-05-2020,1090,1103,1061,1070.150024,1054.067505,25226
12-05-2020,1080,1080,1040.650024,1055.599976,1039.736206,13766
13-05-2020,1098.900024,1154.949951,1081.099976,1134.150024,1117.105835,102944
14-05-2020,1134.949951,1140,1072,1091.349976,1074.948853,54527
15-05-2020,1096,1105.099976,1085,1099.199951,1082.680908,32496
18-05-2020,1087.550049,1098.699951,1082.5,1090.650024,1074.259521,39060
19-05-2020,1108.699951,1108.699951,1075,1081.099976,1064.852905,27305
20-05-2020,1087.400024,1099.949951,1082,1092.550049,1076.130981,12563
21-05-2020,1105.900024,1121.599976,1094.550049,1105.25,1088.640015,39948
22-05-2020,1100,1115,1091.699951,1110.5,1093.811157,13942
26-05-2020,1115,1178,1100,1167,1149.462036,311667
27-05-2020,1179,1181,1110.050049,1117.099976,1100.311768,103511
28-05-2020,1130,1141.349976,1120.900024,1130.650024,1113.658447,39367
29-05-2020,1125,1172,1121.599976,1168.300049,1150.742554,80287
01-06-2020,1177.5,1225,1170.099976,1206.900024,1188.762451,141681
02-06-2020,1212.699951,1218,1182.849976,1198.5,1180.488647,55643
03-06-2020,1220,1221.25,1135.5,1162.650024,1145.177368,114979
04-06-2020,1174.800049,1175,1141.449951,1161,1143.552246,37400
05-06-2020,1169.900024,1177,1162.449951,1170.949951,1153.352661,27201
08-06-2020,1184.75,1186,1156,1170.449951,1152.860229,30409
09-06-2020,1172,1184,1157.599976,1169.75,1152.170654,42768
10-06-2020,1173,1174.949951,1144.199951,1169.099976,1151.530518,58403
11-06-2020,1169.099976,1171,1148.099976,1156.099976,1138.72583,33007
12-06-2020,1120.599976,1199,1111.25,1190.900024,1173.002808,49878
15-06-2020,1200,1220,1176.550049,1196.949951,1178.961914,28524
16-06-2020,1200.099976,1214,1160,1177.400024,1159.705811,142770
17-06-2020,1191.400024,1265,1181.150024,1218.449951,1200.138794,133353
18-06-2020,1238.949951,1260,1220,1245.699951,1226.979248,306281
19-06-2020,1260,1444.400024,1260,1378.449951,1357.734253,294053
22-06-2020,1402,1444.400024,1385,1399,1377.975464,208109
23-06-2020,1398,1424.449951,1389.050049,1395.5,1374.528076,63292
24-06-2020,1402.5,1406.300049,1334.400024,1346.75,1326.510742,42363
25-06-2020,1346,1414.900024,1326.050049,1397.050049,1376.054932,89037
26-06-2020,1400,1412,1360.650024,1371.949951,1351.331909,37432
29-06-2020,1378,1384,1335,1362.25,1341.77771,21441
30-06-2020,1366,1395,1360,1379,1358.276123,94546
01-07-2020,1386,1425.599976,1370,1382.5,1361.723389,106404
02-07-2020,1386.349976,1414.650024,1384.949951,1395.050049,1374.084961,38629
03-07-2020,1400,1424.800049,1392.050049,1412.849976,1391.61731,36930
06-07-2020,1411,1492,1400,1454.050049,1432.198242,198982
07-07-2020,1471.25,1479.25,1443.050049,1460.349976,1438.403442,109794
08-07-2020,1460.349976,1478.949951,1403.849976,1421.050049,1399.694214,34020
09-07-2020,1420,1447,1409.449951,1423.599976,1402.205811,35504
10-07-2020,1428,1439.699951,1415.650024,1434.900024,1413.33606,15213
13-07-2020,1453.900024,1474,1404.900024,1423.400024,1402.008789,102292
14-07-2020,1415,1455.349976,1405.099976,1418.650024,1397.3302,31755
15-07-2020,1418,1434,1410.900024,1425.099976,1403.683228,25038
16-07-2020,1425.099976,1429.400024,1371.199951,1393.650024,1372.705933,116984
17-07-2020,1393.650024,1426.300049,1389.949951,1407.449951,1386.298462,160059
20-07-2020,1407,1463.800049,1393.050049,1431.599976,1410.085571,105277
21-07-2020,1450,1564.849976,1450,1520.050049,1497.206299,250307
22-07-2020,1529,1544,1489.849976,1497.449951,1474.945923,71250
23-07-2020,1500,1548,1498.199951,1535.75,1512.67041,80802
24-07-2020,1549,1568,1483.900024,1503.650024,1481.052856,78408
27-07-2020,1511,1522.449951,1481.150024,1483.800049,1461.501221,103409
28-07-2020,1485,1506.050049,1485,1493.650024,1471.203125,217471
29-07-2020,1519.849976,1519.849976,1463.050049,1477.949951,1455.739014,185987
30-07-2020,1490.800049,1495.949951,1468.849976,1486.75,1464.40686,53883
31-07-2020,1491,1510.550049,1476.099976,1500.050049,1477.506958,117687
03-08-2020,1509,1531.949951,1500,1504.550049,1481.939453,87596
04-08-2020,1518.900024,1529.849976,1492.099976,1503.699951,1481.102051,358085
05-08-2020,1511.25,1578.949951,1497.699951,1560.75,1537.294678,68636
06-08-2020,1560,1570,1544.300049,1554,1530.646118,38705
07-08-2020,1554,1615,1542.900024,1600.449951,1576.397949,75108
10-08-2020,1614,1614,1550,1564.75,1541.234619,50446
11-08-2020,1575,1578.599976,1513.199951,1524.349976,1501.441772,29649
12-08-2020,1499,1524.800049,1483.849976,1505.300049,1482.677979,55570
13-08-2020,1512.849976,1540.699951,1504.900024,1509.199951,1486.519409,44362
14-08-2020,1528,1530.300049,1497.900024,1508.449951,1485.78064,38820
17-08-2020,1510,1522.800049,1446.550049,1499.949951,1477.408325,76100
18-08-2020,1500,1518.949951,1485,1507.300049,1484.647949,61264
19-08-2020,1525,1565,1518,1526.949951,1504.002563,104870
20-08-2020,1532.099976,1549,1519.650024,1532.949951,1509.912476,37584
21-08-2020,1550.150024,1553,1516,1523.050049,1500.161255,21951
24-08-2020,1523.550049,1540,1493,1499.800049,1477.26062,45521
25-08-2020,1507.300049,1511.949951,1480,1496.150024,1473.665527,51368
26-08-2020,1497,1509.900024,1480.5,1496.900024,1474.404297,59551
27-08-2020,1510,1521,1483.449951,1517.699951,1494.891602,159577
28-08-2020,1535,1535,1496,1500,1477.457642,115120
31-08-2020,1521.949951,1522.949951,1460,1489.599976,1467.213867,81569
01-09-2020,1465,1505,1450,1498.050049,1475.536987,45831
02-09-2020,1500,1500,1474,1487.300049,1464.948608,224584
03-09-2020,1504.400024,1509,1481.949951,1494.050049,1471.597168,73466
04-09-2020,1488.699951,1517.150024,1451,1489.550049,1467.164795,60437
07-09-2020,1476,1505.050049,1439.900024,1474.900024,1452.734741,104702
08-09-2020,1487,1492,1441.150024,1467.150024,1445.101318,271572
09-09-2020,1435,1450.900024,1414,1436.599976,1415.010376,99300
10-09-2020,1438,1459,1427,1446.050049,1424.318481,14391
11-09-2020,1452,1459.800049,1425.400024,1435.699951,1414.123901,15497
